Регион,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Россия (код по ОКСМ),515.9,769.5,940.6,1010.2,1658.9,2281.1,3062,3947.2,5170.4,6410.3,8088.3,10154.8,12540.2,14863.6,16895,18958.4,20780,23221.1,25928.2,27767,30467,30747
Центральный федеральный округ,692.3,1050.6,1289.6,1462.6,2416.4,3230.6,4299.6,5435.6,7211.3,8991.1,10902.3,13570,16631.2,18590.3,21931.1,24644.7,27089,30006.3,33466.6,34970,38767,39371
Белгородская область,392.5,593.3,657.6,717.5,1187.1,1554.5,2121.4,2762.3,3357.4,4070.2,5275.8,7082.8,9399.1,12748.9,14146.7,16992.8,18799.7,21659.5,23734.7,25372,28331,29591
Брянская область,342.8,528.8,601.4,592.7,945.7,1312.1,1818.3,2452.4,3134.6,3720.4,4787.7,6171.1,7626.2,10083.4,11484.3,13358.4,15347.6,17469.4,20151.8,22039,25362,25349
Владимирская область,317.7,473.2,577.3,593.5,994.5,1279.6,1665.9,2158,2842,3381.6,4107.5,5626.9,7014.9,9479.9,10827.5,12956.2,14312.2,16228.8,18796.4,20569,23729,22866
Воронежская область,345,468,676.2,787.1,1186,1486.5,2039.7,2597.4,3391.2,4143,5398,6861.6,8306.6,10586.8,11999.4,13883.3,15908.5,18947.7,22056,25505,29922,29576
Ивановская область,309.9,460.5,555.2,522.2,756.7,1037.6,1297.8,1778.4,2293.1,2858.8,3480.3,4456.9,5683.5,8343.1,9351.2,11123.5,13005.5,16014.7,18123.2,20409,22556,23684
Калужская область,438.4,571,644.8,696.7,1028.5,1311.3,1782.1,2503.3,3339.8,4181.4,5343.4,6924.7,9185.5,11612.4,13379.8,15477.4,17556.9,20742.3,23182.1,24984,27703,28610
Костромская область,398.7,533.9,620.3,619,1034.5,1438.9,1904.5,2515.7,3089.2,3815.5,4985.4,6397.5,7857.3,9607.9,10695.6,13314.8,14574.3,15867.1,17575,19320,22442,23981
Курская область,313.4,463.2,595.5,644.7,1087.3,1464.9,1979.9,2698.5,3371.4,4233,5217.8,6751,8686.6,11523.9,12801.5,14685.1,16386.9,18865.6,20809.4,23188,25801,25821
Липецкая область,377.1,620.9,692.7,739.5,1185.5,1772,2261.2,2776.2,3563.2,4430.5,5591.2,7610.7,9471.9,12085.1,14487.2,15935.8,16811.3,19829.1,22222,25263,27665,28466
Московская область,392,579.6,734.3,900.6,1463.4,1823.9,2626.4,3546,4425,5821.1,7444.8,10515,14034.1,19046.8,20064.1,22641,25604.5,30572.3,32738.9,34948,37702,40539
Орловская область,382.9,583.4,658.9,718.4,1102.9,1414.5,1963.2,2614.4,3225.3,3879,4856.5,5972.3,7324.9,10027.3,10926.5,13114.6,14824.3,16827,18262.4,19981,22829,23261
