Регион,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Россия (код по ОКСМ),12225,13938.4,15371.1,26200.6,39532.3,49474.8,60611.4,74840.5,97691.9,125658.7,157233,195819,237552.2,224163.3,263828.6,317515.3,348641.5,377006,405147.7,449097.9,472161.9,
Центральный федеральный округ,,,16564.4,31118.7,48205,58851.5,75739.2,94244.6,121487.7,164887.9,208806.5,267272.1,331472.2,297793,350204.2,417288.1,451517.2,494482.7,536607.9,580706.6,616366.2,
Белгородская область,9575.6,10792.2,12242.8,21398,27969.5,33126.7,41327.4,50271.4,75629.4,95911.2,118211.4,156225.1,208548.1,199046.1,260015.6,331010,354570.6,368874.8,400820.8,447619.7,470874.3,
Брянская область,7275.3,7175.7,7659.1,11752.4,17413.5,21511.9,27020,31953.4,37719.1,49923.4,62187.8,78518.8,96885.4,98014.5,114777.6,137187.1,164726.6,175865,196096.7,221080,233701,
Владимирская область,7620.7,8431.3,9350.2,15457.1,21073.3,27170,32923.6,40809.4,49353.4,58261,76184.8,99682.5,119941.8,127815.1,155494.2,181842.6,200456.4,216320.8,232757.6,262945.5,281366.9,
Воронежская область,7651.9,8686.6,9082.1,14808.3,20365.1,24905.4,34789.6,42237.5,49530,56534.5,70492.7,94849.5,122591.1,129112.5,148432.6,203575.5,241947.4,262578.3,308004.7,345566.8,360418.2,
Ивановская область,6725.4,6379.3,6804.5,9765.2,14240,18947.2,23396.9,29192.4,35732.7,40039.1,50271.5,68865.7,80708.5,81286.7,103280,121945.5,129448.3,151263.6,146032.6,174687.5,174995.3,
Калужская область,8366.3,8795.3,9330.4,14891.4,22438,30201.9,35708.4,47136.5,56325.6,69192.2,84317.4,109790.3,147929.5,152611.6,186347.8,232722,283299.9,291365.2,324024.4,336353.9,368913.4,
Костромская область,9104.8,10268,10971.7,17450.4,21984.7,29668.3,35109.5,40741.1,52661,63304.4,78226.9,95687.2,119071.5,116856.2,146536.9,175626.6,198142.5,211383.4,223884.2,245940.9,247313.7,
Курская область,9158,10286.3,11909.9,17093.8,23677.7,28946.1,36545.7,46131.2,63512.1,72995.3,88949.4,111348.4,146276.4,141833.5,171322.1,203676,221537.3,242646.1,266769.3,301242.5,325114.5,
Липецкая область,11823.5,12175.3,13216.6,25079.9,39050.9,41308.6,58065.7,79661.2,117959.2,121376.2,150197.1,176534.6,219135.8,192165.2,211610.6,246213.8,251960.8,271896.2,343840,388074.7,406726.2,
Московская область,9649.7,10170.6,12329.5,19753.4,26687.7,35569.3,47323.5,62023.3,79833.2,104738.3,137092.1,188565.3,237595.8,217339.7,259421.5,304342.6,336650.6,359047.3,381892.9,437249.1,483683.3,
Орловская область,7665.2,8661.3,10641.3,17800.8,25168.4,31676.1,41322.8,49342.3,54740.1,64180.4,79341.5,95387.1,120531.4,113848.8,134533.8,167464.9,187659.7,213218.2,232961.6,273107.5,282494.1,
Рязанская область,8762.6,9945.7,10000.6,15691,22070.3,29645.8,37164.2,48977.6,58094.5,70665.8,89010.9,102982.5,128211.5,131891.2,154844.8,186187.2,221430.1,244399.3,259732,285257.8,298624,
Смоленская область,8327.8,9032.6,10358.8,18562,25798.1,33575.4,39983.1,47084.3,54178.9,63687,77366.8,94432.4,121012.7,125743.1,156567.3,184184.9,206391.7,232503.7,242884.6,266927.2,274415.3,
Тамбовская область,6030.8,6571,7866.9,13514.2,19133.8,25830.2,32858.4,40133.5,49098.8,55573.9,70416.2,94532.5,108653.3,123512,131456.7,159543,188418.7,220392.5,268051.7,300289.9,297933.7,
Тверская область,8464.8,9094.9,10655.2,16527.4,23073.1,31209.8,37695.3,47233.8,61158.4,68048.7,90517.8,112021.5,139216.2,144257.9,161305,189484.3,200327.2,224621.6,239829.4,251633.2,276255.4,
Тульская область,8251.2,8396.3,10084.8,16300.3,24291.8,30988.5,38894.3,43541.9,53715.1,71587.4,88476.2,109225.6,146465.6,136851.6,152571.7,180866.3,202302.5,227925.7,270914.9,316248.5,344487.4,
Ярославская область,11680.5,12459.9,13911.4,23596.7,29828,44116.3,54917.2,67915.1,84008.1,99335.1,117309.2,143936.4,166711.8,165757.6,187875.5,225777.7,257426.7,285331.7,307827.1,348375.7,369539.9,
Город Москва столица Российской Федерации город федерального значения,21687.1,29067.4,33887.4,70506.5,115630.5,134435.8,171127.8,209174.1,268390.3,381997.1,477873,601146.9,734242,628930.3,730774.2,859355.1,895017.9,980986.6,1051559.6,1102496.4,1157373,
Северо-Западный федеральный округ,,,16592.8,27948.9,40564.9,50157.8,63297.1,78466.3,106667.8,130846.1,160590.9,202974.4,248742.7,251018.3,289611.4,350764.2,383339.4,403612.9,430130.6,520253.4,562371.6,
Республика Карелия,11561.1,12871.6,15055.1,27099.9,38539.2,46499.2,57575.7,65708,77509.7,112950.3,125613.2,157959,175465.8,162649.3,186651.2,241688,251981.4,281021.6,301818.1,335944.5,371452,
Республика Коми,16999.7,21659.7,26798.7,41025,56619.5,75534.6,84101.9,106304.1,132733.1,176075.2,229053.7,256586.2,314251.6,329967.4,390740.4,487363.5,541155.3,550386.2,557641.3,613975,640622.9,
Архангельская область,12218.6,14133.4,15755.3,25622.9,44797.4,49474,61989.4,78507,109045.7,128965.3,169458.4,212908.3,231492.8,260584.7,302801.3,360165.9,391146.2,417776.4,456985.8,532533.7,584111.3,
