Institution,Country,Publications,Publications (growth %),Citations,Authors,Authors (growth %),Value of awards (USD), Value of awards (USD) (growth %),Citations per Publication,Field-Weighted Citation Impact
"RAS","Russian Federation",109669,44.3,413576,57262,35.7,0,0.0,3.8,0.69
"Lomonosov Moscow State University","Russian Federation",35698,39.1,188884,17373,24.6,0,0.0,5.3,0.90
"RAS - Siberian Branch","Russian Federation",31375,59.8,124630,16043,31.4,0,0.0,4.0,0.71
"St. Petersburg State University","Russian Federation",17932,109.3,69421,8555,95.9,0,0.0,3.9,0.84
"Novosibirsk State University","Russian Federation",12871,150.0,86642,4542,96.5,0,0.0,6.7,1.14
"Kazan Volga Region Federal University","Russian Federation",11502,171.3,42221,6336,142.5,0,0.0,3.7,1.04
"Moscow Engineering Physics Institute","Russian Federation",10649,235.0,66560,4527,121.8,0,0.0,6.3,1.25
"Tomsk Polytechnic University","Russian Federation",10069,409.7,27087,5248,257.2,0,0.0,2.7,1.15
"Ural Federal University","Russian Federation",9559,128.5,23348,4486,113.5,0,0.0,2.4,0.72
"Ural Branch Russian Academy of Sciences","Russian Federation",9512,41.0,26503,4440,31.6,0,0.0,2.8,0.49
"Moscow Institute of Physics and Technology","Russian Federation",9346,115.3,64994,3941,86.3,0,0.0,7.0,1.27
"Tomsk State University","Russian Federation",9308,331.8,40973,3268,200.8,0,0.0,4.4,0.98
"St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO)","Russian Federation",9092,362.2,31665,3753,255.7,0,0.0,3.5,1.11
"Russian Ministry of Health","Russian Federation",8897,240.2,37945,12980,241.0,0,0.0,4.3,0.89
"Higher School of Economics","Russian Federation",8539,232.8,34867,4026,207.2,0,0.0,4.1,1.29
"Joint Institute for Nuclear Research","Russian Federation",8216,33.0,74961,3110,9.5,0,0.0,9.1,1.48
"St. Petersburg State Polytechnical University","Russian Federation",8029,221.9,40432,3959,133.3,0,0.0,5.0,1.51
"Russian Academy of Medical Sciences","Russian Federation",7162,15.7,43025,7584,-1.5,0,0.0,6.0,0.91
"RAS - Pn Lebedev Physics Institute","Russian Federation",6596,36.1,64816,2087,9.5,0,0.0,9.8,1.56
"RAS - Ioffe Physico Technical Institute","Russian Federation",6537,4.7,27714,2290,-5.4,0,0.0,4.2,0.72
"National University of Science and Technology MISIS","Russian Federation",5577,163.8,22476,2435,118.4,0,0.0,4.0,0.88
"Russian Research Centre Kurchatov Institute","Russian Federation",5303,97.0,31617,2871,45.1,0,0.0,6.0,1.04
"Southern Federal University","Russian Federation",4885,88.4,12573,2743,58.2,0,0.0,2.6,0.78
"Nizhny Novgorod State University","Russian Federation",4825,87.2,17393,2582,61.0,0,0.0,3.6,0.72
"Far Eastern Federal University","Russian Federation",4314,84.3,10614,1980,114.9,0,0.0,2.5,0.69
"Sechenov First Moscow State Medical University","Russian Federation",4078,339.7,5977,3490,253.0,0,0.0,1.5,0.45
"Peoples' Friendship University of Russia","Russian Federation",4000,400.4,6593,2514,310.3,0,0.0,1.6,0.95
"Alikhanov Institute for Theoretical and Experimental Physics","Russian Federation",3930,-2.0,65715,1260,-27.5,0,0.0,16.7,2.36
"RAS - Saint Petersburg Nuclear Physics Institute","Russian Federation",3708,21.4,61875,1330,-7.0,0,0.0,16.7,2.28
"Bauman Moscow State Technical University","Russian Federation",3682,200.6,5487,2540,173.7,0,0.0,1.5,0.61
"Samara National Research University","Russian Federation",3560,412.9,10291,1537,257.6,0,0.0,2.9,0.94
"RAS - Institute of Applied Physics","Russian Federation",3517,35.2,23022,1317,25.0,0,0.0,6.5,1.27
"RAS - Budker Institute of Nuclear Physics","Russian Federation",3158,32.9,52657,1119,-0.2,0,0.0,16.7,2.30
"Siberian Federal University","Russian Federation",3142,127.6,7858,2076,107.1,0,0.0,2.5,0.60
"RAS - General Physics Institute","Russian Federation",2998,8.0,10669,1037,-3.7,0,0.0,3.6,0.65
"Pirogov Russian National Research Medical University","Russian Federation",2889,209.0,9864,2527,156.1,0,0.0,3.4,0.55
"Novosibirsk State Technical University","Russian Federation",2804,334.0,6718,1618,213.4,0,0.0,2.4,0.84
"National Research University of Electronic Technology (MIET)","Russian Federation",2787,101.2,5328,1634,87.0,0,0.0,1.9,0.51
"RAS - Institute for Nuclear Research","Russian Federation",2705,7.5,42578,919,3.2,0,0.0,15.7,2.22
"Saratov State University","Russian Federation",2694,57.1,9048,1216,53.8,0,0.0,3.4,0.94
"South Ural State University","Russian Federation",2658,429.0,5165,1602,286.5,0,0.0,1.9,0.83
"Institute for High Energy Physics","Russian Federation",2637,6.0,63917,955,-22.9,0,0.0,24.2,3.02
"St. Petersburg State Electrotechnical University","Russian Federation",2572,308.0,4457,1532,276.6,0,0.0,1.7,0.83
"RAS - A. N. Nesmeyanov Institute of Organoelement Compounds","Russian Federation",2556,18.6,12142,954,22.6,0,0.0,4.8,0.68
"Moscow Technological University (MIREA)","Russian Federation",2338,78.7,4777,1717,47.6,0,0.0,2.0,0.54
"RAS - Joint Institute for High Temperatures Research","Russian Federation",2323,41.4,8930,866,44.6,0,0.0,3.8,0.93
"RAS - Institute of Problems of Chemical Physics","Russian Federation",2299,34.9,6884,887,11.9,0,0.0,3.0,0.48
"Moscow Power Engineering Institute","Russian Federation",2160,250.5,3141,1540,237.9,0,0.0,1.5,0.48
"Moscow State University of Civil Engineering","Russian Federation",2151,895.1,3311,1320,624.0,0,0.0,1.5,2.01
"Boreskov Institute of Catalysis SB RAS","Russian Federation",2129,30.4,11866,729,11.0,0,0.0,5.6,0.81
"RAS - Sobolev Institute of Mathematics of SB","Russian Federation",2091,34.4,4260,499,20.4,0,0.0,2.0,0.72
"RAS - N.N.Semenov Institute of Chemical Physics","Russian Federation",2025,34.0,6847,936,15.1,0,0.0,3.4,0.58
"RAS - Zelinsky Institute of Organic Chemistry","Russian Federation",1992,19.2,11750,883,13.5,0,0.0,5.9,0.77
"RAS - Nikolaev Institute of Inorganic Chemistry of SB","Russian Federation",1967,47.3,8565,603,15.3,0,0.0,4.4,0.68
"Belgorod State University","Russian Federation",1884,105.4,5788,1729,86.3,0,0.0,3.1,0.70
"RAS - Space Research Institute","Russian Federation",1878,33.6,20011,671,47.6,0,0.0,10.7,1.32
"Voronezh State University","Russian Federation",1839,52.7,3893,1247,40.8,0,0.0,2.1,0.49
"Perm National Research Polytechnic University","Russian Federation",1801,57.6,2172,1268,53.4,0,0.0,1.2,0.36
"Mendeleev University of Chemical Technology","Russian Federation",1785,76.5,3830,1541,77.3,0,0.0,2.1,0.44
"National Mineral Resources University","Russian Federation",1781,576.5,1766,1083,457.5,0,0.0,1.0,0.54
"RAS - Institute of Mineralogy and Petrography, SB","Russian Federation",1779,22.0,9781,517,8.1,0,0.0,5.5,0.90
"Skolkovo Institute of Science and Technology","Russian Federation",1704,1693.1,12772,714,3390.0,0,0.0,7.5,1.72
"RAS - P.P.Shirshov Institute of Oceanology","Russian Federation",1695,47.2,5671,753,44.0,0,0.0,3.3,0.65
"Plekhanov Russian University of Economics","Russian Federation",1665,668.1,2471,1258,720.8,0,0.0,1.5,1.28
"RAS - Institute of Semiconductor Physics, Siberian Branch","Russian Federation",1656,17.7,7014,551,1.2,0,0.0,4.2,0.69
