Регион,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Россия (код по ОКСМ),288805211.5,371080327.1,431073185.2,485834338,523377233.9,610426680.6,699869784.8,749797638.8,847526992.9,914669057.2,943815219.6,1019152437.1
Центральный федеральный округ,155694828.6,206465206.4,238761894.4,277118289,288960047.6,331758931.4,369069476.6,398597189.4,447161209.6,482660816.9,491139785.4,530212225.6
Белгородская область,333817.8,413535.7,759402.2,615368,891741.4,943506.8,1261797.2,1465647.9,1790466.4,1921079.3,1779896.5,1921051.8
Брянская область,299203.9,196085,262424.8,257063,202716.2,272992.5,299260.6,352146.8,408889.3,547817.3,704339.7,977666
Владимирская область,1514261.9,2163292.7,2965163.3,2858048,2478852.2,2792930.1,3486676,3647819.1,3878388.2,3767135.3,4511510.4,5391339.4
Воронежская область,2690672.3,3223182.5,3663983.2,4961356,5286853.3,5044822.7,6421808,6172183.4,6348108.7,6379825.6,6436137.6,8164498.3
Ивановская область,256520.4,293710.9,418035.1,394670,422973.6,523551.5,600960.6,572044.8,643840.4,712781.2,641994.4,585723.8
Калужская область,3039623,4131699.3,5403862,6845429,7300918.7,8766062.2,10397704.8,9316482.9,10296736.4,9970049.7,9283705.4,6070933.1
Костромская область,23517.9,28393.5,40859,50670,56270.9,55493.3,78465.9,101765.7,92936.3,149498.3,137115.8,130752
Курская область,1824533.3,2461743.1,2264868.8,1930523,2128867.9,1533694.4,2369036.8,3013617.4,3466020,2762577.7,4948715.3,5936075.8
Липецкая область,58035.5,67423.9,81876.3,69902,66552.3,111515.2,143005.4,233043,287531.8,410455.8,352267.7,291147.3
Московская область,32932997,41136203.2,46089271.7,54242971,64980596.4,80137940,84645364.2,93252385.5,103827167.8,111318214.2,107311090.3,119715913.8
Орловская область,214490.2,339851.3,254714.7,252235,272456.3,315593.4,379830.6,474474.4,397426.4,526037.8,644432.8,976393.4
Рязанская область,603055.7,899417.7,1042423.5,915910,1169641.3,1109292,1202419.9,1400736.1,1472352.4,2206874.5,2026164.3,1594441.6
Смоленская область,485190.6,674653.1,685231.4,829793,787378.4,871582.1,855476,966712.4,1052840.7,1323891.1,1414801.7,1604547.4
Тамбовская область,463198.6,873176.9,840842.1,636517,805380.5,918524.2,953239,1440365.7,2296955.1,2182642.5,1666758.1,1079247.1
Тверская область,2084912.1,2806044.9,3055845.7,2768735,2924747.3,3294060.9,4085739.6,3595715,4140882.3,4690031.4,4786289.4,4644301.4
Тульская область,905815.7,1006621.4,1476653.8,1376882,1565755.5,1715053.6,2041463.2,2435116.2,3090096.1,4224705.6,5574784.3,5974947.9
Ярославская область,2951212.2,3890510.7,3680517.3,3292004,3179101.3,4075072.1,4201122.5,5405226.6,5421605.8,6782069.1,8720723.3,6938491
Город Москва столица Российской Федерации город федерального значения,105013770.5,141859660.6,165775919.5,194820213,194439244.1,219277244.4,245646106.3,264751706.5,298248965.5,322785130.5,330199058.4,358214754.5
Северо-Западный федеральный округ,37971703.2,48087753.2,58586307.5,64643932,70737267,81504946.1,100002692,108026672.9,118612308.1,128182685.9,131973577.9,139544242.5
Республика Карелия,227481.8,381590,516810.4,520077,568148.9,704930.3,765563.2,897725.7,985887.2,1050657.7,964944.6,943189.3
Республика Коми,891025.9,1253672.7,1489760.1,1824004,1577726.7,1704516.3,1827143.2,2239783.2,2152412.2,2400076,2390547,2349967.8
Архангельская область,845074.4,793698.4,622345.3,1155537,724503.5,898601.5,1106806,1247253.8,1460578.2,1470960.6,1576714.5,1544390.4
Ненецкий автономный округ (Архангельская область),5344.5,8695.3,21380.5,39081,39897.9,42014,52057,54787.3,65964.3,65240.6,41200.3,21515.7
Архангельская область (кроме Ненецкого автономного округа),,,,,,,1054749,1192466.5,1394613.9,1405720,1535514.2,1522874.7
Вологодская область,131664.3,168207.9,234258.6,298897,286765.4,310882,311698.3,362701.3,366373.1,377294.6,411909.2,479534.7
Калининградская область,580471.1,717867.8,678789,957906,1184834.5,1309968.5,901786.2,1074268.2,1005903,1146779,1293471.3,1093966.5
Ленинградская область,2056744.2,2598426.7,3526282,3644273,4400157.6,4583716.9,6189872.3,5472700.6,6708819.9,7587093.1,6335326.3,6863461.9
Мурманская область,1244964.4,1629502.9,2245625.6,2168910,2006612.9,2077811.8,2383609,2517984,2599272.3,2513354.5,2404574.3,2276129.9
Новгородская область,257344.5,438883.6,539778.7,612732,708576.5,857109.8,1391531.3,1208731.3,1093021.2,1587838.5,1694719,2751839.6
Псковская область,37005.6,63226.1,46591.9,63126,57148.1,67436.5,173182.1,171158.5,167601.7,337105.2,430548.6,437717.1
Город Санкт-Петербург город федерального значения,31699927,40042677.1,48686065.9,53398471,59222792.9,68989972.5,84951500.4,92834366.3,102072439.3,109711526.7,114470823.1,120804045.3
Южный федеральный округ (по 2009 год),9485196.1,12752467.7,13581938.4,14550112,,,,,,,,
Южный федеральный округ (с 2010 года),,,,,13027273.2,15906039.8,18617952.2,19986961.3,29274307.1,24732756.8,0,
Южный федеральный округ (с 29.07.2016),,,,,,,,0,0,0,25796967.3,25231919.4
Республика Адыгея (Адыгея),36208,40761.2,43973,73210,59666.9,151566,161456.2,170102.2,205704.1,202399.5,225205.3,241343.6
Республика Калмыкия,35963.6,51536.4,56852.9,64191,62748.5,80791.2,76760.8,68160.5,75842.8,75301.4,71557.8,67760.1
Республика Крым,,,,,,,,0,511866.7,1235868.6,1410935.2,1487703
Краснодарский край,2185441.2,2947890.8,3260027.6,3202601,3260341.5,3826631.6,4817619.5,4669357.8,5596518.3,6792032.4,5866079,5421965.6
Астраханская область,461217.2,330333.1,294112.2,365950,369541.8,611979.7,572894.8,568811.5,549884.6,563061.2,458536.2,549397.5
Волгоградская область,1099831,1768947,1897137.7,2305573,2606570.4,3229680.6,3669534.1,5294111,8123760.4,3417749.6,3447751.3,3547638.6
Ростовская область,4466090.7,6002797.1,5846024.5,6012125,6668404.1,8005390.7,9319686.8,9216418.3,14722596.9,13682212.7,13663755.8,13102285.1
Город федерального значения Севастополь,,,,,,,,0,267388,650173.8,653146.7,813825.9
Северо-Кавказский федеральный округ,,,,,2639814.2,4017717.4,3448114.1,3695549.6,4197300.5,4291896.2,4397314.3,4608953.6
Республика Дагестан,334982.3,437391.3,602891.7,710838,674448.8,772991.2,872344.2,893464.7,972184.9,969508.6,929691.9,914075.6
Республика Ингушетия*,4698.3,8787.3,9911.2,13139,18559,28941.7,40566,42958.1,48102.6,78053,68796.5,62107.4
Кабардино-Балкарская Республика,151495.3,283052.5,361858.8,393097,436189.9,484603.4,552698.1,552921.4,606630,489461.4,502191.3,654545.7
Карачаево-Черкесская Республика,179803.7,205838.2,316206.2,308169,268469.6,310366.5,368295.4,330553.7,403688.8,602874.3,492202.1,510300.1
Республика Северная Осетия-Алания,92251.7,174533.9,204123.4,221745,231901.9,293131.2,347037.4,372815.2,470947,394758.1,371091.3,343372.4
Чеченская Республика*,26653.4,40598,58246.3,93792,110709.2,121188.5,139399.8,271578.9,344023.3,285681.6,218269,269255.1
Ставропольский край,410559.7,460000.9,630572.9,785684,899535.8,2006494.9,1127773.2,1231257.6,1351723.9,1471559.2,1815072.2,1855297.3
Приволжский федеральный округ,43738988.6,51207110.2,57148480,63513654,74942408.1,91012119.5,109155030.9,114194558.6,126552459.5,138049152.7,147735023.6,161473697.5
Республика Башкортостан,1908388.7,2783152.2,3352524.1,3480884,4083004,5413730.8,7014860,7263215.6,8302783.6,8329711,8854386.9,8812966.2
Республика Марий Эл,153766.1,248292.1,161580.9,112302,124850.4,140081.8,136568.3,180749.3,147137.1,144543.7,167727,198994.9
Республика Мордовия,266098.3,371750.2,532625.6,647397,520477.1,601304.1,671878.8,906940.6,969119.2,823105.9,798840.3,828768.7
Республика Татарстан (Татарстан),4147606.6,4674048.8,5554779,5556422,6447890.6,8622028.9,10447479.6,11125780.8,12180785.9,12202225.9,12569170.8,16221400.3
Удмуртская Республика,442425.6,523840.7,459324.6,534077,457664.3,787509,843100.6,1147766.9,1020428.6,1107014.5,1102934.2,1768544.7
Чувашская Республика - Чувашия,158710,246867.6,513485.4,488151,647830.9,849853.3,1206259.3,1422358.4,1530280,1377338.3,1528687,2034638.8
Пермский край,4452331.7,5557775.2,6067653.6,7203806,7427998.8,8245390.5,9489202.8,12188788.4,11730001.8,12944554.9,14005638,14334254.4
Кировская область,422491.7,531006.2,643911.1,843816,849711,901049.7,1095948,1077625.4,1362418.1,1422670.6,1452700.8,2157517.3
Нижегородская область,16742829.2,20227551.8,23094515.2,24697350,31361369.8,36250453.2,44524041.2,43268361.6,58507764.9,65584131.2,77751675.8,76190591.9
Оренбургская область,234650.9,456119.5,566022.1,520714,487410.6,539801.2,565318.1,570027.7,602670.7,646617.5,700797.8,1065671.3
Пензенская область,1420225.4,1561021.7,1699448,1903584,2497262.9,3730715.4,3987020.4,4539460.3,3518464.8,3645186.1,3793579.4,5461046.8
Самарская область,9710038.1,9485801.1,9061800.5,11327332,12517605.8,14406882.9,17601066.4,18953823.3,14596447.8,17353327.4,11842282.4,14246918.1
Саратовская область,1047226.8,1506351.5,1825018.2,1866592,2365275,2693160.2,3020673.8,2843242.6,3298273,3577684.2,4387661.7,4463967
Ульяновская область,2632199.5,3033531.6,3615791.7,4331229,5154056.9,7830158.5,8551613.6,8706417.7,8785884,8891041.5,8778941.5,13688417.1
Уральский федеральный округ,17112008.8,21300081.1,24654346,24294300,29441790.1,34408921.4,40420229.7,45166954.8,48799972.1,55432731.5,63655184.3,71287651.3
Курганская область,138267.8,147320.6,198916,177276,213454,218681.3,298591.7,267054.4,272943.5,291732.8,330546.5,346654.4
Свердловская область,7997135.9,9738086.9,11170547.2,11037099,12712050.4,15533514.9,17499503.7,21428142,26144928.1,26259106.9,29623980.4,32186330
Тюменская область,3812123.9,5780295.3,6232372.7,6286614,7609503.7,6226328.9,8964877.8,9184761,10512887.3,14171822.9,14116980.1,16373587.3
Ханты-Мансийский автономный округ - Югра (Тюменская область),1511674,2970274.9,2984751.4,2699623,2289294.8,1674706.9,3081626.8,2714263.8,2720257.3,2805904.6,2800400.8,3045144
Ямало-Ненецкий автономный округ (Тюменская область),90454.9,191034.9,86508.7,912,6068.1,42632,76435.2,77125.8,101724.5,136312.3,136160.2,173583.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,5806815.8,6393371.4,7690905.5,11229606,11180419.1,13154859.8
Челябинская область,5164481.2,5634378.3,7052510.1,6793311,8906782,12430396.3,13657256.5,14286997.4,11869213.2,14710068.9,19583677.3,22381079.6
Сибирский федеральный округ,18475915.9,23846673.2,28689814.7,31539494,33869973.2,40713351.9,47011724.9,47666279.4,58435922.4,64279396.7,63958552.1,67792686.1
Республика Алтай,24239.9,55226,48373.3,49321,62783.3,68968.2,80708.6,94760.8,91797.8,89744.8,91602.7,92948.7
Республика Бурятия,216699.7,289236.3,396358.7,475923,467068,665555.6,727923.9,887386.2,940021.6,1049163.4,931100.9,869616.6
Республика Тыва,59901.2,98853.4,137620.6,150463,156468.6,199435,201021.7,246782.1,298041.8,289823.7,258059.5,261181.2
Республика Хакасия,29728.6,43116.8,52990.8,57310,59301.2,78918.3,72513.9,70191.6,91278.3,85675.7,84634.9,89519.5
Алтайский край,622485.2,828728.9,898875.7,762690,809643.6,990917.8,1174228.6,1578576.5,2076489,2157409.1,1731309.8,1753987.8
Забайкальский край,152036.4,162917.8,185522.2,146065,145305.6,208040.1,258675.5,321757.9,411455.4,381374.4,349775.5,404031.8
Красноярский край,3067053,4955645.4,4678353.5,5700858,7087895,9380704,11109468.3,10137756.6,15253998.7,17095054.2,16939772.3,16157717.6
Иркутская область,1547158.2,2484816.8,2874764.8,3106125,3493852,3785790.7,4897656.1,4683987,4659627.2,4333626.8,4042942.2,4210795.8
Кемеровская область,397793.8,494519,529166.3,672247,771643.4,908072.9,1026999,1103147.9,1414759.6,1438873,1583614.9,2206578.5
Новосибирская область,7387219.9,8392183,10707469.9,12076328,12270361.4,14581461.4,16029341.7,16358941.1,19326601.4,20108719.7,20230429.7,21629340.8
Омская область,2207816.1,2330704.4,2945142.1,2828301,2676003.1,2525979.7,3226455.8,3320472,4169870.6,5622833.6,5927440.2,6040077.6
Томская область,2763783.9,3710725.4,5235176.8,5513862,5869648,7319508.2,8206731.8,8862519.7,9701981,11627098.3,11787869.5,14076890.2
Дальневосточный федеральный округ,6326570.3,7421035.3,9650404.2,10174558,9758660.5,11104653.1,12144564.4,0,13714258.9,0,15158814.7,19001061.1
Республика Саха (Якутия),83311.3,1113005.3,1438226.2,1609843,1651656.9,1994605.1,2152796.1,2315929.2,2469056.8,2500451.2,2605892.4,2558067.1
Камчатский край,712001.6,746777.3,1126650.1,1069589,1110551.7,1106624.4,1200825,1265095,1258297.8,1289578.1,1156695.6,1205608.7
Приморский край,3014977.6,3375911.3,4233068.1,4862622,4100023.2,4745947.3,5135959.3,4932544.1,5708088.9,6672406.8,6476204.3,6930694
Хабаровский край,461613.8,652822.1,867634.4,816627,1011430.4,1090131.7,1326485.7,1413411.4,1397510.4,1956060,2488537.1,5898049.9
Амурская область,153350.2,194902.7,280282.4,318823,352807.7,376746.1,449774.9,494064.1,496253.6,491049.9,475917.4,478663.7
Магаданская область,498041.1,620516.6,877440.3,700755,733152.2,811308.7,843357.8,900097.7,1054123.5,729504.7,656424.2,688577.6
Сахалинская область,582955.4,653033.7,740372.3,708084,731489.4,863128.8,903376.1,1010705.5,1197595.1,1399001.8,1182486.3,1163300.9
Еврейская автономная область,15200,22506.7,36847.8,36747,35468,82040.7,97077.5,93372.6,0,0,77770.3,77178
Чукотский автономный округ,55419.3,41559.6,49882.6,51468,32081,34120.3,34912,0,0,39238.2,38887.1,921.2
