Регион,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Россия (код по ОКСМ),807066,801135,761252,742433,736540,735273,727263,727029,732274,738857,722291,707887
Центральный федеральный округ,411958,415522,396272,385392,381795,380363,373461,375087,381047,380140,372293,362463
Белгородская область,1297,1314,1189,1185,1189,1198,1244,1227,1373,1749,1717,1655
Брянская область,1770,1950,2010,1352,790,1172,958,665,931,805,630,688
Владимирская область,7640,7453,7075,6638,4871,5131,4959,4919,5684,5697,5421,5365
Воронежская область,14144,14984,14651,14677,13184,14106,10799,10763,10865,10600,10334,10654
Ивановская область,918,892,732,774,749,644,852,816,836,634,618,574
Калужская область,10708,10920,10386,10374,10091,10422,10362,10528,10570,10170,9963,9275
Костромская область,139,137,146,134,116,109,119,127,119,129,121,114
Курская область,3469,3377,3185,2955,2944,3128,3018,3016,2984,2891,2846,2719
Липецкая область,417,352,353,369,323,326,365,379,443,700,616,530
Московская область,91062,88114,84375,83653,84574,86130,86349,85856,87780,85864,87706,86579
Орловская область,1082,1006,936,844,797,844,809,677,677,915,878,837
Рязанская область,3461,3584,3555,3064,2373,2265,2391,2440,2525,3100,2718,2461
Смоленская область,1170,1094,1031,964,873,760,809,735,772,714,761,903
Тамбовская область,2285,2282,2038,1964,1665,1807,1710,1644,1625,1594,1165,1125
Тверская область,5430,5340,5505,5089,4851,4625,4478,4229,4317,4596,4430,3971
Тульская область,10359,7544,5754,5521,4992,3759,3581,3499,3872,4154,4237,4142
Ярославская область,6660,7190,6739,6358,6187,6311,6313,6148,6169,6319,6404,6354
Город Москва столица Российской Федерации город федерального значения,249947,257989,246612,239477,241226,237626,234345,237419,239505,239509,231728,224517
Северо-Западный федеральный округ,103635,103864,99556,97633,95826,97221,97710,95674,96726,98062,95118,94525
Республика Карелия,867,945,951,907,934,978,986,996,1149,1202,1207,1168
Республика Коми,2049,2089,2105,1889,1806,1748,1809,1769,1791,1981,1909,1655
Архангельская область,3065,3011,2971,1473,1148,1064,1143,1128,1165,1107,1094,1021
Ненецкий автономный округ (Архангельская область),24,31,43,81,75,58,66,64,60,62,59,22
Архангельская область (кроме Ненецкого автономного округа),,,,,,,1077,1064,1105,1045,1035,999
Вологодская область,561,469,483,466,482,410,424,463,498,541,509,464
Калининградская область,2023,1961,1897,1799,1859,1990,1955,2020,2103,2128,2057,1788
Ленинградская область,6422,6467,6374,6463,6477,6431,6476,6409,7135,7229,7247,7265
Мурманская область,2195,2102,2071,2057,2097,2102,2382,2322,2359,2342,2265,2138
Новгородская область,876,849,820,873,892,982,1130,1169,1175,1638,1602,1739
Псковская область,287,262,230,276,318,516,745,625,624,818,278,236
Город Санкт-Петербург город федерального значения,85290,85709,81654,81430,79813,81000,80660,78773,78727,79076,76950,77051
Южный федеральный округ (по 2009 год),35210,36714,33633,,,,,,,,,
Южный федеральный округ (с 2010 года),,,,27695,28109,27738,23964,24263,25361,27166,0,
Южный федеральный округ (с 29.07.2016),,,,,,,,0,0,0,28011,26922
Республика Адыгея (Адыгея),361,361,320,327,330,357,316,326,305,279,282,283
Республика Калмыкия,227,217,214,199,203,190,181,183,213,175,184,158
Республика Крым,,,,,,,,0,1550,1676,2096,2113
Краснодарский край,7324,6997,6452,6379,6256,6059,6504,6872,7585,9265,7532,6916
Астраханская область,1444,1859,1047,942,917,966,1014,1083,904,933,692,653
Волгоградская область,4017,4553,3657,3965,4001,3988,3639,3568,3732,3958,4026,3869
Ростовская область,15917,16471,15802,15883,16402,16178,12310,12231,12622,12556,12102,11846
Город федерального значения Севастополь,,,,,,,,0,914,1288,1097,1084
Северо-Кавказский федеральный округ,,,,6051,6053,8585,7188,6330,6628,7521,7655,7237
Республика Дагестан,1882,1910,1778,1658,1642,1628,1606,1561,1548,1689,1997,1693
Республика Ингушетия*,26,87,83,95,95,112,114,114,130,346,326,244
Кабардино-Балкарская Республика,730,725,678,727,677,704,746,783,744,894,1122,1050
Карачаево-Черкесская Республика,546,522,507,497,491,506,505,508,561,586,581,589
