,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems
0,ВЦ РАН,2004,16.0,16.0,8.0,32.0,2.0,0.06,0.08,268390.3,1
1,ИБХ РАН,2004,56.0,56.0,28.0,28.0,3.0,0.12000000000000001,0.22,536780.6,1
2,ИВМ РАН,2004,16.0,16.0,8.0,16.0,2.0,0.07,0.08,268390.3,1
3,ИВМиМГ СО РАН,2004,32.0,32.0,16.0,32.0,2.0,0.03,0.05,71843.4,1
4,ИММ УРО РАН,2004,32.0,32.0,16.0,32.0,2.0,0.07,0.16,82546.5,1
5,ИПС РАН,2004,32.0,32.0,16.0,16.0,0.667,0.06,0.1,84008.1,1
6,ИПХФ РАН,2004,12.0,12.0,6.0,9.0,0.0,0.0,0.06,79833.2,1
7,ИСП РАН,2004,16.0,16.0,2.0,2.0,2.0,0.03,0.05,268390.3,1
8,КГПУ,2004,8.0,8.0,8.0,8.0,1.0,0.02,0.04,125287.8,1
9,КГУ,2004,16.0,16.0,8.0,8.0,2.0,0.04,0.06,61291.7,1
10,МГУ,2004,338.0,338.0,161.0,417.0,4.601,0.68,1.1,1610341.8,1
11,НИИ БМХ РАМН,2004,32.0,32.0,16.0,16.0,1.0,0.04,0.13,268390.3,1
12,ННГУ,2004,44.0,44.0,26.0,1.0,1.0,0.0,0.06,69629.5,1
13,СПбГПУ,2004,16.0,16.0,8.0,16.0,2.0,0.04,0.06,116030.9,1
14,ТвГУ,2004,29.0,29.0,19.0,2.3125,0.1,0.0,0.06,61158.4,1
15,ЮУрГУ,2004,36.0,36.0,18.0,36.0,2.5,0.18,0.23,81894.8,1
16,ЮФУ,2004,24.0,24.0,24.0,24.0,2.0,0.07,0.11,101357.2,1
