N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Межведомственный суперкомьютерный центр Российская академия наук 2008 г.,1564/6256,узлов: 362 (2xXeon 5365 3 GHz 4.096 GB RAM) узлов: 108 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 312 (2xXeon 3 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,55.69 75.07,Hewlett-Packard
2,Москва Московский государственный университет имени М.В.Ломоносова 2008 г.,1250/5000,узлов: 529 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 64 (2xXeon E5472 3 GHz 8.192 GB RAM) узлов: 32 (2xXeon E5472 3 GHz 16.384 GB RAM) узлов: 8 (2xXeon E5472 3 GHz 32.768 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet + IPMI,47.32 60.00,СКИФ
3,Москва РНЦ Курчатовский институт 2008 г.,864/3456,узлов: 32 (2xXeon 5365 3 GHz 32.768 GB RAM) узлов: 64 (2xXeon 5365 3 GHz 16.384 GB RAM) узлов: 336 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,25.08 34.27,Hewlett-Packard
4,Москва Факультет Вычислительной математики и кибернетики Московский государственный университет имени М.В. Ломоносова 2008 г.,2048/8192,Blue Gene/P IBM Power PC 850 MHz BlueGene/P proprietary,23.22 27.60,IBM
5,Уфа УГАТУ 2007 г.,532/2128,узлов: 266 (2xXeon 5345 2.333 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,15.33 19.86,АйТи/IBM
6,Москва Росгидромет 2008 г.,354/1416,узлы: (Xeon E5440 2.83 GHz) сеть: Infiniband 4x DDR,13.68 16.03,SGI
7,Красноярск СФУ 2007 г.,452/1808,узлов: 226 (2xXeon 53xx 2.333 GHz) сеть: InfiniBand/Gigabit Ethernet/Gigabit Ethernet,13.06 16.87,IBM
8,Челябинск Южно-Уральский государственный университет 2008 г.,332/1328,узлов: 166 (2xXeon E5472 3 GHz 8.192 GB RAM) сеть: InfiniBand/Gigabit Ethernet/СКИФ-ServNet,12.36 15.94,Т-Платформы
9,Рыбинск НПО Сатурн 2008 г.,336/1344,узлов: 168 (2xXeon 5355 2.66 GHz 8.192 GB RAM) узлов: 3 (2xXeon 7350 2.86 GHz 131.072 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,10.60 14.30,IBM/Крок
10,Москва Росгидромет 2008 г.,832/1664,узлы: (Itanium 2 1.66 GHz) сеть: NUMALink,10.29 11.05,SGI
11,IT Provider 2008 г.,610/2440,узлы: (Xeon 5320 1.866 GHz) сеть: Gigabit Ethernet,10.01 18.15,Hewlett-Packard
12,Томск Межрегиональный вычислительный центр Томский государственный университет 2007 г.,564/1128,узлов: 282 (2xXeon 5150 2.667 GHz 4.096 GB RAM) сеть: QLogic InfiniPath/Gigabit Ethernet/СКИФ-ServNet,9.01 12.00,Т-Платформы
