,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВлГУ,2008,128.0,512.0,64.0,512.0,20.0,3.76,4.77,119941.8,1,5,1,14,45,3
1,ВятГУ,2008,288.0,1152.0,144.0,589.8240000000001,2.5,8.16,10.74,110127.9,1,1,0,5,16,0
2,ИВМ РАН,2008,32.0,128.0,16.0,128.0,2.5,1.06,1.33,734242.0,1,6,1,4,32,3
3,ИВМиМГ СО РАН,2008,168.0,168.0,84.0,344.064,2.5,0.83,1.08,171430.3,1,8,9,15,36,3
4,ИДСТУ СО РАН,2008,40.0,160.0,20.0,163.84,1.0,0.92,1.49,178988.3,1,3,1,4,19,2
5,ИПРИМ РАН,2008,48.0,192.0,24.0,192.0,2.5,1.34,1.79,734242.0,1,0,0,2,1,0
6,ИПХФ РАН,2008,504.0,504.0,252.0,516.096,2.0,2.92,4.44,237595.8,1,74,61,157,200,42
7,ИТПМ СО РАН,2008,32.0,128.0,16.0,256.0,2.5,0.94,1.28,171430.3,1,14,22,24,60,9
8,КазНЦ РАН,2008,252.0,252.0,126.0,516.096,2.0,1.47,2.22,245628.5,1,0,4,8,17,0
9,Курчатовский институт,2008,864.0,3456.0,432.0,4849.664000000001,20.0,25.08,34.27,734242.0,1,138,92,93,229,62
10,ЛИТ ОИЯИ,2008,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,237595.8,1,400,205,244,272,190
11,МГУ,2008,3298.0,13192.0,633.0,5644.2880000000005,12.5,70.53999999999999,87.6,734242.0,2,952,640,1123,1875,481
12,МИЭТ,2008,50.0,200.0,25.0,102.4,1.0,0.87,1.6,734242.0,1,4,7,29,45,2
13,МФТИ,2008,320.0,640.0,160.0,736.0,4.5,5.37,7.550000000000001,485918.9,2,53,46,80,100,27
14,НГУ,2008,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,171430.3,1,109,97,152,149,57
15,НИЦЭМ им. Н.Ф. Гамалеи,2008,24.0,96.0,12.0,96.0,2.5,0.74,1.15,734242.0,1,6,6,4,25,2
16,ННГУ,2008,128.0,256.0,64.0,0.25,1.0,1.34,2.72,175587.1,1,70,51,116,180,28
17,ОИВТ РАН,2008,48.0,192.0,24.0,192.0,2.5,1.4,1.79,734242.0,1,43,37,80,109,25
18,ПНИПУ,2008,128.0,512.0,64.0,524.288,2.5,3.17,4.1,227719.0,1,1,2,4,26,0
19,СПбГПУ,2008,130.0,260.0,65.0,532.48,2.5,1.04,1.25,299436.0,1,80,59,107,169,31
20,СПбГУ,2008,96.0,384.0,48.0,192.0,2.5,2.17,3.07,299436.0,1,304,206,265,507,153
21,СФУ,2008,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,260318.2,1,31,33,55,78,16
22,ТГУ,2008,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,241911.3,1,36,35,72,159,19
23,ТПУ,2008,48.0,96.0,24.0,196.608,10.0,0.79,1.02,241911.3,1,25,36,55,106,15
24,УГАТУ,2008,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,183168.7,1,21,15,43,54,13
25,ЮУрГУ,2008,332.0,1328.0,166.0,1359.872,2.5,12.36,15.94,190565.5,1,3,2,30,42,2
26,ЮФУ,2008,100.0,400.0,50.0,800.0,2.5,3.55,4.8,134137.4,1,49,36,106,168,22
