,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,Московский государственный университет имени М.В.Ломоносова,2012,1500,710,1240,1895,1015
1,РНЦ Курчатовский институт,2012,163,110,180,156,101
2,Южно-Уральский государственный университет,2012,6,10,34,57,2
3,"НИЦ ""Курчатовский институт""",2012,163,110,180,156,101
4,Нижегородский государственный университет им. Н.И. Лобачевского,2012,67,53,133,196,34
5,ТГУ,2012,79,46,75,166,52
6,ИПМ им. М.В.Келдыша РАН,2012,14,10,49,54,7
7,ИВМиМГ СО РАН,2012,8,2,24,49,4
8,Московский физико-технический институт,2012,160,108,134,168,92
9,ИДСТУ СО РАН,2012,11,3,4,13,7
10,МГУ,2012,1500,710,1240,1895,1015
11,ССКЦ ИВМиМГ,2012,8,2,24,49,4
12,Северо-Восточный федеральный университет имени М.К.Аммосова,2012,4,2,10,18,4
13,СПбГУ,2012,420,237,336,591,269
14,ФГУП ЦНИИ,2012,0,0,4,17,0
15,Новосибирский государственный университет,2012,395,171,256,263,307
16,УГАТУ,2012,16,19,36,56,8
17,Таганрогский Технологический Институт Южного Федерального Университета,2012,74,51,99,170,43
18,Вятский государственный университет,2012,0,0,8,22,0
19,СФУ,2012,46,35,101,123,27
