,Affiliation,Year,Q1,Q2,Q3,Q4,Top10
0,МГУ,2012,1500,710,1240,1895,1015
1,Курчатовский институт,2012,163,110,180,156,101
2,ЮУрГУ,2012,6,10,34,57,2
3,ННГУ,2012,67,53,133,196,34
4,ТГУ,2012,79,46,75,166,52
5,ИПМ им. М.В.Келдыша РАН,2012,14,10,49,54,7
6,ИВМиМГ СО РАН,2012,8,2,24,49,4
7,МФТИ,2012,160,108,134,168,92
8,ИДСТУ СО РАН,2012,11,3,4,13,7
9,ССКЦ ИВМиМГ,2012,8,2,24,49,4
10,СВФУ,2012,4,2,10,18,4
11,СПбГУ,2012,420,237,336,591,269
12,ФГУП ЦНИИ,2012,0,0,4,17,0
13,НГУ,2012,395,171,256,263,307
14,УГАТУ,2012,16,19,36,56,8
15,ЮФУ,2012,74,51,99,170,43
16,ВятГУ,2012,0,0,8,22,0
17,СФУ,2012,46,35,101,123,27
