,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВЦ РАН,2004,Cpu: 3,Cores: 3,Nodes: 3,Memory: 1,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 1,Num of Systems: 1,Q1: 4,Q2: 3,Q3: 4,Q4: 3,Top10: 4
1,ИБХ РАН,2004,Cpu: 1,Cores: 1,Nodes: 1,Memory: 2,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
2,ИВМ РАН,2004,Cpu: 3,Cores: 3,Nodes: 3,Memory: 2,Nets: 1,Linpack: 1,Peak: 2,GRPperCapita: 1,Num of Systems: 1,Q1: 2,Q2: 2,Q3: 3,Q4: 2,Top10: 2
3,ИВМиМГ СО РАН,2004,Cpu: 1,Cores: 1,Nodes: 2,Memory: 1,Nets: 1,Linpack: 4,Peak: 4,GRPperCapita: 4,Num of Systems: 1,Q1: 3,Q2: 4,Q3: 2,Q4: 2,Top10: 3
4,ИММ УРО РАН,2004,Cpu: 1,Cores: 1,Nodes: 2,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 3,Num of Systems: 1,Q1: 3,Q2: 2,Q3: 3,Q4: 2,Top10: 3
5,ИПС РАН,2004,Cpu: 1,Cores: 1,Nodes: 2,Memory: 2,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 3,Num of Systems: 1,Q1: 4,Q2: 3,Q3: 4,Q4: 4,Top10: 4
6,ИПХФ РАН,2004,Cpu: 4,Cores: 4,Nodes: 4,Memory: 4,Nets: 4,Linpack: 4,Peak: 3,GRPperCapita: 4,Num of Systems: 1,Q1: 2,Q2: 1,Q3: 1,Q4: 1,Top10: 2
7,ИСП РАН,2004,Cpu: 3,Cores: 3,Nodes: 4,Memory: 4,Nets: 1,Linpack: 4,Peak: 4,GRPperCapita: 1,Num of Systems: 1,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4
8,КГПУ,2004,Cpu: 4,Cores: 4,Nodes: 3,Memory: 4,Nets: 4,Linpack: 4,Peak: 4,GRPperCapita: 2,Num of Systems: 1,Q1: 3,Q2: 4,Q3: 4,Q4: 4,Top10: 3
9,КГУ,2004,Cpu: 3,Cores: 3,Nodes: 3,Memory: 4,Nets: 1,Linpack: 3,Peak: 3,GRPperCapita: 4,Num of Systems: 1,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
