,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВЦ РАН,2004,16.0,16.0,8.0,32.0,2.0,0.06,0.08,268390.3,1,2,2,4,23,0
1,ИБХ РАН,2004,56.0,56.0,28.0,28.0,3.0,0.12000000000000001,0.22,268390.3,2,68,51,64,64,38
2,ИВМ РАН,2004,16.0,16.0,8.0,16.0,2.0,0.07,0.08,268390.3,1,9,7,5,28,6
3,ИВМиМГ СО РАН,2004,32.0,32.0,16.0,32.0,2.0,0.03,0.05,71843.4,1,6,1,19,32,3
4,ИММ УРО РАН,2004,32.0,32.0,16.0,32.0,2.0,0.07,0.16,82546.5,1,8,11,7,36,2
5,ИПС РАН,2004,32.0,32.0,16.0,16.0,0.667,0.06,0.1,84008.1,1,3,2,3,3,1
6,ИПХФ РАН,2004,12.0,12.0,6.0,9.0,0.0,0.0,0.06,79833.2,1,50,62,135,128,15
7,ИСП РАН,2004,16.0,16.0,2.0,2.0,2.0,0.03,0.05,268390.3,1,1,1,3,11,0
8,КГПУ,2004,8.0,8.0,8.0,8.0,1.0,0.02,0.04,125287.8,1,4,1,0,2,4
9,КГУ,2004,16.0,16.0,8.0,8.0,2.0,0.04,0.06,61291.7,1,9,12,21,28,5
10,МГУ,2004,338.0,338.0,161.0,417.0,4.601,0.68,1.1,268390.3,6,911,737,1126,1388,449
11,НИИ БМХ РАМН,2004,32.0,32.0,16.0,16.0,1.0,0.04,0.13,268390.3,1,14,6,23,19,7
12,СПбГПУ,2004,16.0,16.0,8.0,16.0,2.0,0.04,0.06,116030.9,1,70,58,154,215,28
13,ЮУрГУ,2004,36.0,36.0,18.0,36.0,2.5,0.18,0.23,81894.8,1,3,5,19,24,1
14,ЮФУ,2004,24.0,24.0,24.0,24.0,2.0,0.07,0.11,50678.6,2,58,40,118,118,27
15,ВЦ РАН,2005,16.0,16.0,8.0,32.0,2.0,0.06,0.08,381997.1,1,5,7,12,44,3
16,ИБХ РАН,2005,80.0,80.0,40.0,112.0,4.5,0.25,0.36,381997.1,2,61,59,74,63,31
17,ИБХ РАН,2005,80.0,80.0,40.0,112.0,4.5,0.25,0.36,381997.1,2,61,59,74,63,31
18,ИВМ РАН,2005,32.0,32.0,16.0,32.768,2.0,0.12,0.17,381997.1,1,4,10,2,31,2
19,ИВМиМГ СО РАН,2005,128.0,128.0,64.0,64.0,2.0,0.12,0.2,88475.5,1,10,2,12,26,6
20,ИММ РАН,2005,52.0,52.0,26.0,52.0,1.0,0.12,0.32,381997.1,1,7,3,7,19,4
21,ИММ УРО РАН,2005,32.0,32.0,16.0,32.0,2.0,0.07,0.16,108697.2,1,2,4,4,32,2
22,ИПС РАН,2005,32.0,32.0,16.0,16.0,0.667,0.06,0.1,99335.1,1,0,1,1,7,0
23,КазНЦ РАН,2005,128.0,128.0,64.0,64.0,2.0,0.12,0.2,128226.9,1,2,5,16,15,1
24,МГУ,2005,192.0,192.0,96.0,352.0,3.167,0.61,0.87,381997.1,2,970,757,1255,1650,503
25,ННГУ,2005,16.0,16.0,8.0,16.384,1.0,0.06,0.1,87354.7,1,51,43,133,168,25
26,ЮУрГУ,2005,36.0,36.0,18.0,36.0,2.5,0.19,0.23,99159.8,1,1,4,11,30,0
27,ЮФУ,2005,21.0,21.0,21.0,43.008,2.5,0.11,0.14,60575.0,1,52,40,114,135,27
28,ИБХ РАН,2006,48.0,48.0,24.0,96.0,2.5,0.18,0.23,477873.0,1,76,63,51,64,39
29,КРСУ,2006,64.0,64.0,32.0,65.536,2.0,0.29,0.38,0.0,1,2,1,6,5,1
30,Курчатовский институт,2006,36.0,36.0,18.0,73.72800000000001,2.5,0.16,0.24,477873.0,1,142,110,101,180,72
31,МГУ,2006,184.0,184.0,92.0,369.152,3.5,0.67,0.9099999999999999,477873.0,2,935,724,1132,1701,437
32,СВФУ,2006,34.0,34.0,17.0,139.264,2.5,0.28,0.33,216535.9,1,1,4,5,4,1
33,СПбГПУ,2006,24.0,24.0,12.0,98.304,1.0,0.16,0.21,174432.8,1,74,54,124,198,38
34,ФГУП ЦНИИмаш,2006,49.0,49.0,38.0,50.176,1.0,0.2,0.31,137092.1,1,8,3,10,12,3
35,ЮУрГУ,2006,52.0,52.0,26.0,52.0,2.5,0.27,0.33,127442.5,1,0,0,10,37,0
36,ИГЭУ,2007,64.0,128.0,32.0,131.072,1.0,0.28,0.51,68865.7,1,1,4,14,24,1
37,ИСП РАН,2007,24.0,96.0,12.0,98.304,2.0,0.65,1.02,601146.9,1,0,0,7,16,0
38,КРСУ,2007,64.0,64.0,32.0,65.536,2.0,0.29,0.38,0.0,1,3,1,5,3,2
39,ЛИТ ОИЯИ,2007,120.0,240.0,60.0,491.52,1.0,1.12,2.55,188565.3,1,378,208,210,314,195
40,МГУ,2007,288.0,416.0,144.0,1237.504,25.0,1.71,2.11,601146.9,4,911,685,1194,1850,448
41,МФТИ,2007,272.0,544.0,136.0,544.0,2.0,4.53,6.53,601146.9,1,58,31,70,87,38
42,НИИ БМХ РАМН,2007,64.0,128.0,32.0,131.072,2.5,0.5,0.67,601146.9,1,10,16,35,27,3
43,ННГУ,2007,128.0,256.0,64.0,0.25,1.0,1.34,2.72,140297.9,1,49,35,115,151,28
44,СВФУ,2007,34.0,34.0,17.0,139.264,2.5,0.28,0.33,253423.5,1,2,2,1,3,1
45,СПбГПУ,2007,130.0,260.0,65.0,532.48,2.5,1.04,1.25,235410.3,1,72,42,150,212,41
46,ТГУ,2007,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,209319.9,1,42,33,69,110,15
47,ТПУ,2007,48.0,96.0,24.0,196.608,10.0,0.79,1.02,209319.9,1,32,25,35,80,17
48,ЮУрГУ,2007,52.0,52.0,26.0,52.0,2.5,0.27,0.33,164797.5,1,6,9,15,38,0
49,ВлГУ,2008,128.0,512.0,64.0,512.0,20.0,3.76,4.77,119941.8,1,5,1,14,45,3
50,ВятГУ,2008,288.0,1152.0,144.0,589.8240000000001,2.5,8.16,10.74,110127.9,1,1,0,5,16,0
51,ИВМ РАН,2008,32.0,128.0,16.0,128.0,2.5,1.06,1.33,734242.0,1,6,1,4,32,3
52,ИВМиМГ СО РАН,2008,168.0,168.0,84.0,344.064,2.5,0.83,1.08,171430.3,1,8,9,15,36,3
53,ИДСТУ СО РАН,2008,40.0,160.0,20.0,163.84,1.0,0.92,1.49,178988.3,1,3,1,4,19,2
54,ИПРИМ РАН,2008,48.0,192.0,24.0,192.0,2.5,1.34,1.79,734242.0,1,0,0,2,1,0
55,ИПХФ РАН,2008,504.0,504.0,252.0,516.096,2.0,2.92,4.44,237595.8,1,74,61,157,200,42
56,ИТПМ СО РАН,2008,32.0,128.0,16.0,256.0,2.5,0.94,1.28,171430.3,1,14,22,24,60,9
57,КазНЦ РАН,2008,252.0,252.0,126.0,516.096,2.0,1.47,2.22,245628.5,1,0,4,8,17,0
58,Курчатовский институт,2008,864.0,3456.0,432.0,4849.664000000001,20.0,25.08,34.27,734242.0,1,138,92,93,229,62
59,ЛИТ ОИЯИ,2008,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,237595.8,1,400,205,244,272,190
60,МГУ,2008,3298.0,13192.0,633.0,5644.2880000000005,12.5,70.53999999999999,87.6,734242.0,2,952,640,1123,1875,481
61,МИЭТ,2008,50.0,200.0,25.0,102.4,1.0,0.87,1.6,734242.0,1,4,7,29,45,2
62,МФТИ,2008,320.0,640.0,160.0,736.0,4.5,5.37,7.550000000000001,485918.9,2,53,46,80,100,27
63,НГУ,2008,128.0,512.0,64.0,1048.576,20.0,4.09,5.45,171430.3,1,109,97,152,149,57
64,НИЦЭМ им. Н.Ф. Гамалеи,2008,24.0,96.0,12.0,96.0,2.5,0.74,1.15,734242.0,1,6,6,4,25,2
65,ННГУ,2008,128.0,256.0,64.0,0.25,1.0,1.34,2.72,175587.1,1,70,51,116,180,28
66,ОИВТ РАН,2008,48.0,192.0,24.0,192.0,2.5,1.4,1.79,734242.0,1,43,37,80,109,25
67,ПНИПУ,2008,128.0,512.0,64.0,524.288,2.5,3.17,4.1,227719.0,1,1,2,4,26,0
68,СПбГПУ,2008,130.0,260.0,65.0,532.48,2.5,1.04,1.25,299436.0,1,80,59,107,169,31
69,СПбГУ,2008,96.0,384.0,48.0,192.0,2.5,2.17,3.07,299436.0,1,304,206,265,507,153
70,СФУ,2008,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,260318.2,1,31,33,55,78,16
71,ТГУ,2008,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,241911.3,1,36,35,72,159,19
72,ТПУ,2008,48.0,96.0,24.0,196.608,10.0,0.79,1.02,241911.3,1,25,36,55,106,15
73,УГАТУ,2008,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,183168.7,1,21,15,43,54,13
74,ЮУрГУ,2008,332.0,1328.0,166.0,1359.872,2.5,12.36,15.94,190565.5,1,3,2,30,42,2
75,ЮФУ,2008,100.0,400.0,50.0,800.0,2.5,3.55,4.8,134137.4,1,49,36,106,168,22
76,БФУ имени И. Канта,2009,136.0,544.0,68.0,557.056,2.5,3.75,5.07,180797.2,1,1,3,2,9,0
77,ВлГУ,2009,140.0,620.0,70.0,561.152,20.0,3.76,4.77,127815.1,1,2,1,7,23,1
78,ВятГУ,2009,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,107680.4,1,0,0,3,11,0
79,ИВМ РАН,2009,46.0,184.0,23.0,196.608,20.0,1.51,1.98,628930.3,1,9,5,3,37,8
80,ИВМиМГ СО РАН,2009,100.0,400.0,50.0,819.2,20.0,3.41,4.8,160210.4,1,10,6,19,59,5
81,ИММ УРО РАН,2009,64.0,256.0,32.0,512.0,20.0,2.21,3.0,191415.0,1,8,5,6,68,5
82,ИПРИМ РАН,2009,48.0,192.0,24.0,192.0,2.5,1.34,1.79,628930.3,1,2,0,2,1,1
83,ИПХФ РАН,2009,504.0,504.0,252.0,516.096,2.0,2.92,4.44,217339.7,1,73,71,126,182,35
84,КБГУ,2009,44.0,176.0,22.0,180.224,20.0,1.47,1.9,76451.1,1,0,3,11,31,0
85,КазНЦ РАН,2009,252.0,252.0,126.0,516.096,2.0,1.47,2.22,234206.4,1,3,4,11,27,2
86,Курчатовский институт,2009,864.0,3456.0,432.0,4849.664000000001,20.0,25.08,34.27,628930.3,1,127,111,115,198,74
87,ЛИТ ОИЯИ,2009,200.0,560.0,100.0,1120.0,1.0,2.98,6.07,217339.7,1,390,203,213,322,197
