,place,Год,cpu,cores,nodes,memory,nets,linpack,peak,developer,Average incomes per capita,GRPperCapita,Internal spendigns on science,Number of scientists
1,Минская область,2004,cpu: 1,576.0,288.0,1152.0,2.5,2.03,2.53,domestic dev,,,,
2,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 1,336.0,168.0,672.0,2.0,1.4,2.15,domestic dev,20899.1,268390.3,,
3,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 1,768.0,384.0,384.0,2.0,0.73,1.18,domestic dev,20899.1,268390.3,,
4,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 1,160.0,80.0,320.0,2.5,0.51,0.7,foreign dev,20899.1,268390.3,,
5,Ереван,2004,cpu: 2,128.0,64.0,64.0,2.0,0.48,0.78,joint dev,,,,
6,Минская область,2004,cpu: 2,128.0,64.0,128.0,0.667,0.48,0.72,domestic dev,,,,
7,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 2,72.0,36.0,72.0,0.667,0.25,0.4,domestic dev,20899.1,268390.3,,
8,Челябинская область,2004,cpu: 3,36.0,18.0,36.0,2.5,0.18,0.23,domestic dev,4819.8,81894.8,,
9,Челябинская область,2004,cpu: 3,40.0,20.0,20.0,2.5,0.12,0.22,domestic dev,4819.8,81894.8,,
10,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 3,32.0,16.0,32.0,0.667,0.1,0.17,domestic dev,20899.1,268390.3,,
11,Киев,2004,cpu: 3,32.0,16.0,16.0,0.667,0.1,0.17,domestic dev,,,,
12,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 3,32.0,16.0,32.0,1.0,0.07,0.12,domestic dev,20899.1,268390.3,,
13,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 7,20.0,10.0,20.0,2.5,0.07,0.09,domestic dev,20899.1,268390.3,,
14,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 3,32.0,16.0,16.0,2.0,0.07,0.13,domestic dev,20899.1,268390.3,,
15,Свердловская область,2004,cpu: 3,32.0,16.0,32.0,2.0,0.07,0.16,domestic dev,6743.3,82546.5,,
16,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 7,16.0,8.0,16.0,2.0,0.07,0.08,joint dev,20899.1,268390.3,,
17,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 7,16.0,8.0,32.0,2.0,0.06,0.08,joint dev,20899.1,268390.3,,
18,Ярославская область,2004,cpu: 3,32.0,16.0,16.0,0.667,0.06,0.1,domestic dev,5094.6,84008.1,,
19,Неизвестно,2004,cpu: 7,16.0,8.0,64.0,1.0,0.05,0.07,domestic dev,,,,
20,Минская область,2004,cpu: 9,14.0,7.0,3.5,2.0,0.05,0.08,domestic dev,,,,
21,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 6,24.0,12.0,12.0,1.0,0.05,0.09,domestic dev,20899.1,268390.3,,
22,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 3,32.0,16.0,16.0,1.0,0.04,0.13,domestic dev,20899.1,268390.3,,
23,Ростовская область,2004,cpu: 9,14.0,14.0,19.0,1.0,0.04,0.06,domestic dev,5038.1,50678.6,,
24,Город Санкт-Петербург город федерального значения,2004,cpu: 7,16.0,8.0,16.0,2.0,0.04,0.06,domestic dev,9175.7,116030.9,,
25,Город Москва столица Российской Федерации город федерального значения,2004,cpu: 10,8.0,4.0,16.0,2.5,0.04,0.04,domestic dev,20899.1,268390.3,,
