,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
1,not Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
2,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
3,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
4,Moscow,2 cpu,2 cores,2 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
5,not Moscow,2 cpu,2 cores,2 nodes,3 memory,3 nets,2 linpack,2 peak,joint dev
6,not Moscow,2 cpu,2 cores,2 nodes,2 memory,10 nets,2 linpack,2 peak,domestic dev
7,Moscow,3 cpu,3 cores,3 nodes,2 memory,9 nets,3 linpack,3 peak,domestic dev
8,not Moscow,4 cpu,4 cores,4 nodes,3 memory,1 nets,3 linpack,3 peak,domestic dev
9,not Moscow,3 cpu,3 cores,3 nodes,5 memory,1 nets,3 linpack,3 peak,domestic dev
10,Moscow,6 cpu,5 cores,5 nodes,4 memory,9 nets,3 linpack,3 peak,domestic dev
11,not Moscow,5 cpu,5 cores,5 nodes,7 memory,8 nets,4 linpack,4 peak,domestic dev
12,Moscow,7 cpu,7 cores,7 nodes,5 memory,2 nets,4 linpack,5 peak,domestic dev
13,not Moscow,5 cpu,5 cores,4 nodes,5 memory,4 nets,4 linpack,4 peak,domestic dev
14,Moscow,5 cpu,4 cores,6 nodes,7 memory,3 nets,4 linpack,4 peak,domestic dev
15,Moscow,9 cpu,7 cores,9 nodes,8 memory,5 nets,5 linpack,6 peak,joint dev
16,Moscow,5 cpu,5 cores,6 nodes,4 memory,7 nets,5 linpack,5 peak,domestic dev
17,Moscow,8 cpu,8 cores,8 nodes,4 memory,4 nets,5 linpack,6 peak,joint dev
18,not Moscow,4 cpu,6 cores,5 nodes,6 memory,10 nets,5 linpack,5 peak,domestic dev
19,Moscow,7 cpu,7 cores,7 nodes,8 memory,6 nets,6 linpack,5 peak,domestic dev
20,not Moscow,9 cpu,9 cores,9 nodes,9 memory,3 nets,6 linpack,6 peak,domestic dev
21,not Moscow,8 cpu,8 cores,9 nodes,3 memory,7 nets,6 linpack,7 peak,domestic dev
22,not Moscow,9 cpu,9 cores,7 nodes,5 memory,7 nets,6 linpack,7 peak,domestic dev
23,Moscow,10 cpu,10 cores,10 nodes,7 memory,2 nets,7 linpack,9 peak,domestic dev
24,not Moscow,7 cpu,8 cores,8 nodes,9 memory,5 nets,7 linpack,8 peak,joint dev
25,not Moscow,7 cpu,9 cores,8 nodes,8 memory,5 nets,7 linpack,8 peak,domestic dev
26,Moscow,6 cpu,4 cores,6 nodes,6 memory,7 nets,7 linpack,4 peak,domestic dev
27,Moscow,3 cpu,3 cores,3 nodes,3 memory,10 nets,8 linpack,6 peak,domestic dev
28,not Moscow,9 cpu,9 cores,7 nodes,9 memory,6 nets,8 linpack,8 peak,domestic dev
29,Moscow,8 cpu,7 cores,9 nodes,8 memory,9 nets,8 linpack,8 peak,domestic dev
30,not Moscow,6 cpu,4 cores,6 nodes,4 memory,4 nets,8 linpack,9 peak,domestic dev
31,Moscow,8 cpu,8 cores,10 nodes,10 memory,3 nets,9 linpack,9 peak,joint dev
32,not Moscow,4 cpu,6 cores,5 nodes,6 memory,8 nets,9 linpack,9 peak,domestic dev
33,not Moscow,10 cpu,10 cores,10 nodes,7 memory,8 nets,9 linpack,10 peak,domestic dev
34,not Moscow,10 cpu,10 cores,8 nodes,9 memory,6 nets,9 linpack,10 peak,domestic dev
35,Moscow,10 cpu,10 cores,10 nodes,10 memory,9 nets,10 linpack,10 peak,domestic dev
36,Moscow,4 cpu,6 cores,4 nodes,6 memory,8 nets,10 linpack,10 peak,domestic dev
37,not Moscow,3 cpu,3 cores,3 nodes,10 memory,6 nets,10 linpack,7 peak,foreign dev
38,not Moscow,6 cpu,6 cores,4 nodes,10 memory,10 nets,10 linpack,7 peak,domestic dev
39,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
40,not Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
41,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,2 peak,foreign dev
42,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
43,not Moscow,2 cpu,2 cores,2 nodes,4 memory,5 nets,2 linpack,1 peak,joint dev
44,not Moscow,2 cpu,2 cores,2 nodes,2 memory,10 nets,2 linpack,2 peak,domestic dev
45,not Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,2 linpack,3 peak,domestic dev
46,Moscow,2 cpu,2 cores,2 nodes,4 memory,10 nets,2 linpack,2 peak,domestic dev
47,not Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,3 linpack,3 peak,domestic dev
48,Moscow,4 cpu,4 cores,3 nodes,3 memory,8 nets,3 linpack,3 peak,domestic dev
49,not Moscow,3 cpu,3 cores,10 nodes,3 memory,8 nets,3 linpack,2 peak,foreign dev
50,not Moscow,4 cpu,4 cores,4 nodes,6 memory,2 nets,3 linpack,5 peak,domestic dev
51,Moscow,4 cpu,4 cores,4 nodes,3 memory,2 nets,4 linpack,5 peak,domestic dev
52,not Moscow,4 cpu,4 cores,4 nodes,6 memory,1 nets,4 linpack,5 peak,domestic dev
53,not Moscow,2 cpu,2 cores,2 nodes,4 memory,5 nets,4 linpack,5 peak,domestic dev
54,not Moscow,7 cpu,5 cores,6 nodes,8 memory,10 nets,4 linpack,6 peak,domestic dev
55,not Moscow,6 cpu,6 cores,9 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
56,not Moscow,6 cpu,7 cores,10 nodes,3 memory,6 nets,5 linpack,4 peak,foreign dev
57,not Moscow,6 cpu,6 cores,10 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
58,not Moscow,7 cpu,5 cores,10 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
59,Moscow,6 cpu,6 cores,5 nodes,7 memory,10 nets,6 linpack,6 peak,domestic dev
60,Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,6 linpack,3 peak,domestic dev
61,not Moscow,7 cpu,7 cores,7 nodes,7 memory,3 nets,6 linpack,7 peak,domestic dev
62,Moscow,9 cpu,9 cores,8 nodes,8 memory,3 nets,6 linpack,9 peak,joint dev
63,Moscow,8 cpu,8 cores,7 nodes,8 memory,2 nets,7 linpack,8 peak,domestic dev
